child_name,child_domain,parent_name,parent_domain,verified,evidence,verification_method,date_added
EMURGO,emurgo.io,EMURGO Ptd. Ltd.,emurgo.io,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-04 07:05
Encord,encord.com,"Cord Technologies, Inc.",encord.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-03-07 06:24
Encore,encoreglobal.com,Encore Global LP (Blackstone Inc.),encoreglobal.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Encore Musicians,encoremusicians.com,Mixcloud Ltd.,mixcloud.com,Yes,Mixcloud acquired Encore Musicians in September 2024; Encore continues operating as independent brand but is wholly owned subsidiary.,LLM+web search (optimized),2026-03-13 12:02
Encore Theme Technologies (ETT),encoretheme.com,Wipro Ltd.,wipro.com,Yes,Wipro announced a definitive agreement in Oct 2020 to acquire Encore Theme Technologies and completed full acquisition (83.4% then up to 96.7% then 100%) by Dec 2022.,LLM+web search,2026-05-15 16:16
Endava,endava.com,Endava plc.,endava.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-14 12:02
Endear,endearhq.com,"We Are Arthur, Inc.",endearhq.com,Yes,"Endear's own Terms of Service and legal pages confirm 'We Are Arthur, Inc.' is simply the registered legal name under which the Endear (endearhq.com) business operates — same entity.",LLM+web search,2026-05-15 16:00
Endiya Partners,endiya.com,Endiya Partners,endiya.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:30
Groupe EndLess,endless.fr,Groupe Endless,endless.fr,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-20 13:18
Endress+Hauser,endress.com,Endress+Hauser Group Services AG,endress.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-01 08:33
Engineering Brasil,engdb.com.br,Grupo Engineering,engdb.com.br,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:30
Engine B,engineb.com,CliftonLarsonAllen LLP,claconnect.com,Yes,"CLA (CliftonLarsonAllen LLP) acquired UK-based Engine B, finalized May 1, 2024, per PRNewswire, CPA Practice Advisor, and Accounting Today coverage of the acquisition.",LLM+web search,2026-05-15 16:09
EngineRoom,engineroom.com.au,CXAI Australia,cxapp.com,Yes,"CXApp (CXAI) acquired 100% of EngineRoom for ~$4.6M via its subsidiary CXAI Australia, closed June 3, 2026.",LLM+web search,2026-05-15 16:01
Enigen,enigen.co.uk,Lutech S.p.A.,lutech.group,Yes,"Lutech Group's own newsroom confirms Enigen joined the Lutech Group (acquired 2019), later merged to form TenEnigen.",LLM+web search,2026-05-15 15:59
Enigmatic Smile Limited,enigmaticsmile.com,Capture Value Ltd.,enigmaticsmile.com,Yes,"Capture Value Ltd owns 86.8% of Enigmatic Smile Limited, constituting clear majority control per UK Companies House filings.",LLM+web search,2026-05-15 15:51
Enpro Inc.,enpro.com,"EnPro Holdings, Inc.",enpro.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-13 11:59
Enquizit (A CDW Company),enquizit.com,CDW Corporation,cdw.com,Yes,"Enquizit website explicitly states 'Enquizit is a CDW Company,' confirming CDW ownership.",LLM+web search (optimized),2025-09-18 22:21
Entegris,entegris.com,"Entegris, Inc.",entegris.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:46
Entendre,entendre.finance,MoonPay,moonpay.com,Yes,"MoonPay announced (June 2026) it acquired Entendre, the AI accounting-agent startup, per PR Newswire and multiple fintech news outlets.",LLM+web search,2026-05-19 14:12
Enterprise,enterprise.com,"Enterprise Holdings, Inc.",enterprise.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Enthusiast Gaming,enthusiastgaming.com,Enthusiast Gaming Holdings Inc.,enthusiastgaming.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-25 11:26
entrypoint,entrypoint.co.il,"Entrypoint Systems 2004, Ltd.",entrypoint.co.il,Yes,Same company sharing identical domain (entrypoint.co.il); appears to be the same legal entity under different naming conventions.,LLM+web search,2026-05-15 15:53
Entur AS,entur.no,Norwegian Ministry of Transport and Communications,regjeringen.no,Yes,Entur AS is government-owned company controlled by Norwegian Ministry of Transport.,LLM+web search (optimized),2026-05-15 15:36
Envestnet,envestnet.com,Bain Capital LLC,baincapital.com,Yes,"Bain Capital completed its $4.5B take-private acquisition of Envestnet on Nov 25, 2024, taking Envestnet private under Bain Capital's ownership.",LLM+web search,2026-06-21 21:24
Enviera,enviera.com,PT Envisi Era Teknologi,enviera.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-14 04:59
eos.uptrade,eos-uptrade.de,Siemens Mobility.,mobility.siemens.com,Yes,Siemens Mobility is a confirmed subsidiary of Siemens AG.,LLM+web search (optimized),2026-05-15 15:48
EOS Digital,eos.cz,Otto Group.,ottogroup.com,Yes,"EOS Group, which operates receivables management/debt collection across Europe including Czech operations (eos.cz/EOS KSI), is explicitly listed by Otto Group as a group company/subsidiary.",LLM+web search,2026-07-08 09:58
"Energetický a průmyslový holding, a.s.",epholding.cz,"Energetický a průmyslový holding, a.s. (EPH)",epholding.cz,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:31
EPITA,epita.fr,IONIS Education Group,ionis-group.com,Yes,EPITA (founded 1984) is a computer engineering school that is part of IONIS Education Group's portfolio.,LLM+web search (optimized),2026-02-18 09:38
Epitech Digital School,epitech.digital,IONIS Education Group,ionis-group.com,Yes,Epitech was created in 1999 and is part of IONIS Education Group with multiple campuses across France.,LLM+web search (optimized),2026-03-01 08:33
EPITECH - European Institute of Technology,epitech.eu,IONIS Education Group.,ionis-group.com,Yes,Epitech operates with headquarters in Le Kremlin-Bicêtre and multiple campuses; part of IONIS Education Group.,LLM+web search (optimized),2025-07-25 10:05
Enviropower Renewable Inc.,eprenewable.com,"EnviroPower Renewable, Inc.",eprenewable.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-30 17:24
EPR FireWorks,eprfireworks.com,"EPR Systems, Inc.",eprfireworks.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-18 07:03
"EPSILON, LLC",epsilonsec.ai,Publicis Groupe S.A.,publicisgroupe.com,Yes,Epsilon LLC was acquired by Publicis Groupe for $3.95 billion in July 2019; now subsidiary.,LLM+web search (optimized),2026-03-23 09:22
Equinor,equinor.com,Norwegian State (Government of Norway),regjeringen.no,Yes,Norwegian state owns 67% of Equinor; government is majority shareholder.,LLM+web search (optimized),2026-02-25 14:35
Equiti Group,equiti.com,Equiti Group Ltd.,equiti.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:32
Equity Residential,equityapartments.com,"Equity Residential, Inc.",equityapartments.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-19 16:19
Currently Unemployed,ernesthealth.com,One Equity Partners.,oneequity.com,Yes,Ernest Health acquired by One Equity Partners in May 2018 from Medical Properties Trust,LLM+web search (optimized),2026-02-03 10:51
Erste&Steiermärkische Bank d.d. (Erste Bank Croatia),erstebank.hr,Erste Group Bank AG,erstegroup.com,Yes,Erste Group Bank AG held 59% of the equity capital of Erste & Steiermärkische Bank (Erste Bank Croatia) as of end-2023.,LLM+web search,2026-07-11 09:05
Erste Group,erstegroup.com,ERSTE Foundation and Erste Group Bank AG hold controlling interest.,erstegroup.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
e.sigma Systems GmbH,esigma-systems.com,Diehl Defence GmbH & Co. KG,new.diehl.com,Yes,"Diehl Defence GmbH & Co. KG completed a full takeover of e.sigma Systems GmbH (esigma-systems.com) in June 2025, confirmed by multiple press releases.",LLM+web search,2026-05-15 16:07
"Esis, Inc.",esis.com,Chubb Limited,chubb.com,Yes,"ESIS Inc. was part of ACE company which merged to become Chubb Limited, making it a Chubb subsidiary.",LLM+web search (optimized),2025-09-18 17:07
Essex Laboratories Inc,essexlabs.com,dsm-firmenich AG,dsm-firmenich.com,Yes,"Firmenich (now dsm-firmenich) acquired a majority equity stake in Essex Laboratories in 2016, forming an ongoing joint-venture/subsidiary partnership.",LLM+web search,2026-06-26 08:01
EssilorLuxottica,essilorluxottica.com,EssilorLuxottica S.A.,essilorluxottica.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
The Estée Lauder Companies Inc.,estee.com,The Estée Lauder Companies Inc.,elcompanies.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2025-08-05 22:04
Estuary Solutions,estuarysolutions.com,Estuary Solutions (Pty) Ltd.,estuarysolutions.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 20:36
esurance.ch,esurance.ch,Allstate Corporation,allstate.com,Yes,Esurance is owned by Allstate Corporation (acquired 2011 for $1 billion); esurance.ch related to same company.,LLM+web search (optimized),2026-03-13 11:58
esynergy,esynergy.co.uk,Esynergy Holdings Limited,esynergy.co.uk,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:45
"Ethan Allen Global, Inc.",ethanallen.com,Ethan Allen Interiors Inc.,ethanallen.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-25 12:00
ETNA,etna-alternance.net,IONIS Education Group,ionis-group.com,Yes,ETNA is part of IONIS Education Group's portfolio of 29 schools across France and internationally.,LLM+web search (optimized),2026-03-26 12:01
Eucalyptus,eucalyptus.health,"Hims & Hers Health, Inc.",hims.com,Yes,Hims & Hers announced acquisition of Australian digital health company Eucalyptus in February 2026 for up to $1.15 billion.,LLM+web search (optimized),2026-05-15 15:32
Euclid Technology,euclidtechnology.com,Fullsteam Operations LLC.,fullsteam.com,Yes,"Euclid Technology was acquired by Fullsteam Operations on February 22, 2019.",LLM+web search (optimized),2025-09-24 15:30
eulenamerica,eulen.com,"EULEN, S.A.",eulen.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-13 19:12
Eureka Labs,eurekalabs.io,Jobsity.,jobsity.com,Yes,Jobsity announced strategic acquisition of Eureka Labs in June 2026; acquisition completed for operational integration.,LLM+web search (optimized),2026-05-15 15:45
Eurofins Optimed Clinical Research,eurofinsoptimed.com,Eurofins Scientific S.E.,eurofins.com,Yes,Eurofins Optimed was acquired by Eurofins Scientific in 2006 and is presented on Eurofins' own corporate site as part of the Eurofins Biopharma Services network.,LLM+web search,2026-05-15 15:57
EV Connect,evconnect.com,Schneider Electric,se.com,Yes,"EV Connect was acquired by Schneider Electric in 2022, confirmed in Wikipedia.",LLM+web search (optimized),2026-02-24 19:44
Strengthen The Strong,eventbrite.com,Bending Spoons LLC.,bendingspoons.com,Yes,"Bending Spoons acquired Eventbrite for $500 million in December 2025, closed March 2026.",LLM+web search (optimized),2025-12-13 21:26
EventMobi,eventmobi.com,5Touch Solutions Inc.,eventmobi.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-10-30 09:37
Eventpop,eventpop.me,"EVP Corporation Co., Ltd.",eventpop.me,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-21 06:25
EventsAir,eventsair.com,Riverside Company Inc.,riversidecompany.com,Yes,"Riverside Company made a majority investment in EventsAir, Australian events management software provider.",LLM+web search (optimized),2026-05-15 15:43
EverCharge,evercharge.com,SK Group,sk.com,Yes,SK E&S (SK Group affiliate) acquired EverCharge in March 2022; EverCharge is now an SK E&S company.,LLM+web search,2026-05-15 15:50
Everfi,everfi.com,Blackbaud Inc.,blackbaud.com,Yes,Wikipedia confirms Blackbaud acquired EverFi in 2022 for $750 million as majority-stake acquisition.,LLM+web search (optimized),2026-01-26 22:46
Evergreen Wealth,evergreenmoney.com,"Wells Fargo & Company Holdings, Inc.",wellsfargo.com,Yes,Evergreen Investments became Wells Fargo subsidiary after Wachovia acquisition in 2009.,LLM+web search,2026-05-15 15:56
EverHealth,everhealth.com,EverCommerce Inc.,evercommerce.com,Yes,"EverHealth is a health-vertical brand/suite of EverCommerce, which owns constituent companies like DrChrono, Updox, and CollaborateMD under it.",LLM+web search,2026-06-26 15:55
Evernorth Health Services,evernorth.com,Cigna Corporation,cigna.com,Yes,Evernorth Health Services was formed in September 2020 as Cigna's rebranded health services portfolio.,LLM+web search (optimized),2025-10-07 14:47
Everpass Media,everpass.com,RedBird Capital Partners,redbirdcap.com,Yes,"RedBird Capital Partners website shows Everpass Media in its portfolio of companies across sports, media, entertainment, and financial services sectors.",LLM+web search (optimized),2026-02-10 17:59
EverWatch,everwatchsolutions.com,"Booz Allen Hamilton, Inc.",boozallen.com,Yes,Booz Allen Hamilton completed its $440M acquisition of EverWatch in October 2022; EverWatch became a wholly owned subsidiary.,LLM+web search,2026-05-15 16:04
EveryAction,everyaction.com,Bonterra,bonterratech.com,Yes,"everyaction.com redirects to bonterratech.com, confirming Bonterra ownership of EveryAction.",LLM+web search (optimized),2025-07-08 10:50
EvidentIQ,evidentiq.com,EvidentIQ Group GmbH.,evidentiq.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:47
Workday Contract Management,evisort.com,"Workday, Inc.",workday.com,Yes,"Workday signed a definitive agreement and completed the acquisition of Evisort in 2024, rebranding it as Workday Contract Management.",LLM+web search,2026-05-15 15:56
synthetic intelligence works (evitar),evitar.ai,"Synthetic Intelligence Works, Inc.",evitar.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-16 12:50
EvolutionIQ,evolutioniq.com,"CCC Intelligent Solutions, Inc.",cccis.com,Yes,"EvolutionIQ website displays 'A CCC Company' logo, indicating CCC Intelligent Solutions owns it.",LLM+web search (optimized),2025-03-21 15:01
Evotec,evotec.com,Evotec SE,evotec.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-09 18:33
Evri,evri.com,"Apollo Global Management, Inc.",apollo.com,Yes,"Apollo Global Management (via Apollo Funds) acquired Evri from Advent International in a ~£2.7bn deal in 2024, and Evri remains majority-owned by Apollo.",LLM+web search,2026-07-08 05:29
Evvy,evvy.com,Allora Health Inc.,evvy.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-12-16 13:32
EWE AG,ewe.com,Weser-Ems-Energiebeteiligungen GmbH,ewe.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:28
Exact Sciences,exactsciences.com,"Abbott Laboratories, Inc.",abbott.com,Yes,"Abbott Laboratories completed its ~$21B acquisition of Exact Sciences in March 2026, making it a direct wholly-owned subsidiary per Abbott's own press release.",LLM+web search,2026-05-17 12:02
ExamSpark,examspark.com,Campfire Learning (formerly ExamSpark) - None because no controlling entity was found.,campfirelearning.com,Yes,"ExamSpark domain redirects to Campfire Learning website, indicating acquisition/rebrand by Campfire Learning.",LLM+web search (optimized),2026-03-23 09:24
Exec,exec.com,"Exec Holdings, Inc.",exec.com,Yes,"Corporate filings and company profiles describe Exec Holdings, Inc. as the holding company for the Exec (exec.com) AI talent-development platform, i.e., its parent legal entity.",LLM+web search,2026-05-15 16:00
Exoticca,exoticca.com,"Pangealand, S.L.",exoticca.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:34
Expedited Security,expeditedsecurity.com,Expedited SSL Inc.,expeditedsecurity.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-03 07:43
experian,experianplc.com,Experian plc,experianplc.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-09 13:25
Experity,experityhealth.com,GTCR LLC,gtcr.com,Yes,"GTCR acquired majority equity stake in Experity, confirmed by GTCR press release.",LLM+web search (optimized),2026-04-14 10:37
EXPERTIME,expertime.com,"Orange Business Services, a subsidiary of Orange S.A.",orange-business.com,Yes,EXPERTIME acquired by Orange Business Services in December 2023.,LLM+web search (optimized),2026-05-15 15:41
Expo,expo.dev,"650 Industries, Inc.",expo.dev,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-18 14:26
Express Scripts,express-scripts.com,Cigna Corporation,cigna.com,Yes,Cigna acquired Express Scripts for $67 billion (closed at $54 billion) in December 2018; it is a direct Cigna subsidiary.,LLM+web search (optimized),2025-09-26 12:39
Express Employment Professionals,expresspros.com,Express Employment International.,expresspros.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-24 17:54
Extend Commerce,extendcommerce.com,Codup,codup.co,Yes,"Multiple sources (LinkedIn, Extend Commerce's own site) describe Codup as ""the company behind Extend Commerce,"" indicating Codup owns/operates the Extend Commerce product line.",LLM+web search,2026-06-11 05:41
Ey,ey.com,Ernst & Young Global Limited (EYG),ey.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-17 14:28
Ezra,ezra.com,"Function Health, Inc.",functionhealth.com,Yes,"Function Health acquired full-body MRI scanning company Ezra in May 2025, confirmed by multiple press outlets including CNBC and Ezra's own press release.",LLM+web search,2026-05-15 15:57
ezyCollect by Sidetrade,ezycollect.io,Sidetrade,sidetrade.com,Yes,Sidetrade acquired 100% of ezyCollect's share capital in October 2025 for approximately 37 million euros.,LLM+web search,2026-05-15 15:52
Fable,fable.co,"Scribd, Inc.",scribd.com,Yes,"Fable is confirmed as one of Scribd's four primary platforms alongside Scribd, Everand, and SlideShare.",LLM+web search (optimized),2025-09-19 18:34
Factorial,factorialhr.com,"Everyday Software, S.L.",factorialhr.com,Yes,"Everyday Software, S.L. is confirmed as the legal entity name behind FactorialHR.",LLM+web search,2026-07-04 09:07
FactSumo,factsumo.com,Sixty Vocab LLC,factsumo.com,Yes,"FactSumo is provided/operated by Sixty Vocab LLC, the underlying legal entity (same domain factsumo.com).",LLM+web search,2026-07-11 07:26
Fairmont Hotels & Resorts,fairmont.com,Accor S.A.,group.accor.com,Yes,"Wikipedia confirms Accor acquired FRHI Hotels & Resorts (including Fairmont) in 2015, making Fairmont a subsidiary.",LLM+web search (optimized),2025-07-14 16:51
"Falconwood, Incorporated",falconwood.biz,Falconwood Corporation,falconwood.biz,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:37
Fallon Health,fallonhealth.org,Mass General Brigham.,massgeneralbrigham.org,Yes,Mass General Brigham announced acquisition of Fallon Health in 2026 as part of health plan merger.,LLM+web search (optimized),2025-12-10 12:04
Family Zone,family.zone,Qoria Limited (formerly Family Zone),qoria.com,Yes,"Family Zone Cyber Safety Limited (Linewize's parent) formally renamed itself Qoria Limited in May 2023 as part of a brand unification, so Qoria is the direct successor/parent entity of Family Zone.",LLM+web search,2026-05-15 16:15
fam Properties,famproperties.com,"fäm Group, LLC.",famproperties.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-04-27 02:10
Fanatics,fanaticsinc.com,"Fanatics Holdings, Inc.",fanaticsinc.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-01-26 16:13
FanDuel,fanduel.careers,Flutter Entertainment plc.,flutter.com,Yes,"Flutter Entertainment holds a majority (~95%) ownership stake in FanDuel, a publicly reported and well-documented relationship.",LLM+web search,2026-06-18 23:21
Farmapay,farmapay.com.ar,Soluciones de Pago S.A.,farmapay.com.ar,Yes,"Soluciones de Pago S.A. is the registered legal entity operating the Farmapay brand/platform (same domain farmapay.com.ar), i.e. the owning company of Farmapay.",LLM+web search,2026-05-15 16:03
FaRo,faroit.com,"AMETEK, Inc.",ametek.com,Yes,"AMETEK completed its acquisition of FARO Technologies for ~$920M on July 21, 2025, making FARO a wholly-owned AMETEK business.",LLM+web search,2026-05-23 12:01
"Fasal - Grow More, Grow BetterTM",fasal.co,Wolkus Technology Solutions Private Limited,fasal.co,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:42
Fast Company,fastcompany.com,"Mansueto Ventures, LLC.",mansueto.com,Yes,Mansueto Ventures acquired Fast Company magazine in 2005 for $35 million.,LLM+web search (optimized),2025-07-23 12:58
Faurecia,faurecia.com,FORVIA SE.,forvia.com,Yes,"Faurecia IS FORVIA; the company rebranded to Forvia in 2023 after merging with Hella—not acquired, but renamed.",LLM+web search (optimized),2025-12-09 17:31
favorited.com,favorited.com,"Like Labs, Inc.",likelabs.com,Yes,"Favorited is an interactive livestreaming app operated by Like Labs, Inc.",LLM+web search (optimized),2025-06-05 09:33
FCB,fcb.com,Omnicom Group Inc.,omnicomgroup.com,Yes,FCB is Omnicom subsidiary being retired in 2026 as part of IPG merger restructuring,LLM+web search (optimized),2025-10-15 15:11
FCH Enterprises,fchenterprises.com,"FCH Enterprises, Inc.",fchenterprises.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-28 14:40
Featureform,featureform.com,"Redis Labs, Inc.",redis.io,Yes,Featureform.com redirects to redis.io/feature-form/; Redis Feature Form is now an official Redis Labs product integrated into Redis platform as a core offering.,LLM+web search (optimized),2025-12-16 13:13
Federated Hermes,federatedhermes.com,"Federated Investors, Inc.",federatedhermes.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-08-05 09:06
FedEx,fedex.ca,FedEx Corporation,fedex.com,Yes,Child and parent names match after stripping legal suffix (heuristic),Heuristic,2026-05-15 15:28
fedex,fedex.com,FedEx Corporation,fedex.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 14:37
"FE International, Inc.",feinternational.com,"FE International, Inc.",feinternational.com,Yes,FE International is the same company as claimed parent entity.,LLM+web search,2026-05-15 15:56
ferguson enterprises,ferguson.com,Ferguson Enterprises Inc.,ferguson.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 10:07
Fern Software,fernsoftware.com,Postman.,postman.com,Yes,"Fern Software/buildwithfern.com acquired by Postman on January 8, 2026.",LLM+web search (optimized),2026-05-15 15:47
FERRAGAMO,ferragamo.com,Ferragamo Finanziaria S.p.A.,ferragamo.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-07 16:15
Ferring Pharmaceuticals,ferring.com,Ferring Holding SA,ferring.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-18 19:02
Ferrotec,ferrotec.com,Ferrotec Holdings Corporation,ferrotec.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-24 15:49
Ferrovial,ferrovial.com,Ferrovial SE (FSE),ferrovial.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:23
Fgs Global,fgsglobal.com,KKR & Co. Inc.,kkr.com,Yes,"KKR acquired majority equity stake in FGS Global from WPP for $1.7 billion, completed December 2024.",LLM+web search (optimized),2026-02-27 11:47
FH Packaging,fhpkg.com,Wolfgang Enterprise Inc.,fhpkg.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-10-06 22:02
Fidelis Care - New York,fideliscare.org,Centene Corporation,centene.com,Yes,Centenetraining.com copyright states '© Copyright 2026 Centene Corporation'; Cenpatico domain redirects to this Centene property.,LLM+web search (optimized),2026-02-19 18:35
Fidelity Investments,fidelity.com,FMR LLC,fidelity.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-23 10:48
Fiducial,fiducial.fr,Groupe FIDUCIAL,fiducial.fr,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:25
Fieldin,fieldin.com,Agromentum Ltd.,fieldin.com,Yes,"Agromentum Ltd. is the parent organization of Fieldin; company is officially branded as 'Fieldin, powered by Agromentum Ltd.'",LLM+web search,2026-05-15 15:48
Fieldwire by Hilti,fieldwire.com,"Hilti Group AG, PLC.",hilti.group,Yes,Fieldwire is owned by Hilti and branded as 'Fieldwire by Hilti' according to company website.,LLM+web search (optimized),2025-09-24 16:23
Figtree Systems,figtreesystems.com,Constellation Software Inc.,csisoftware.com,Yes,"Figtree Systems was acquired by Vela Software, a Constellation Software operating group, effective June 2021, per Vela Software Group and AfMA news.",LLM+web search,2026-05-15 16:02
FileSpin,filespin.io,Nidhi Nova Ltd.,filespin.io,Yes,"Multiple sources (Capterra, SoftwareSuggest) and FileSpin's own terms confirm FileSpin.io is owned and operated by Nidhi Nova Ltd, a UK company, indicating full/wholly-owned ownership (same domain).",LLM+web search,2026-05-15 16:14
Fillout,fillout.com,"Restly, Inc.",fillout.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-03 18:24
FilmTrack,filmtrack.com,Rightsline Inc.,rightsline.com,Yes,Rightsline acquired FilmTrack from City National Bank in May 2024.,LLM+web search (optimized),2025-09-18 13:48
Fincart Financial Planners,fincart.com,Fincart Finvest Private Limited,fincart.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:40
Findly (YC S22),findly.ai,Conversion Pattern Inc.,findly.ai,Yes,"Findly's LinkedIn company page is registered under 'Conversion Pattern', indicating Conversion Pattern Inc. is the legal entity behind Findly (same findly.ai domain).",LLM+web search,2026-05-15 16:09
Fingertip Technologies,fingertipplus.com,"Linktree, Inc.",linktr.ee,Yes,"Linktree acquired Fingertip in 2025; Fingertip's platform will close on May 1, 2026 as users migrate to Linktree.",LLM+web search,2026-05-15 15:53
FiniFi - Intelligent AP Automation Platform,finifi.io,Finifi Innovations Private Limited,finifi.io,Yes,Finifi Innovations Private Limited is confirmed to be the registered legal entity behind the FiniFi (finifi.io) product/company.,LLM+web search,2026-06-27 14:20
Fininvest,fininvest.it,Il Gruppo Fininvest,fininvest.it,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:24
Finrep AI,finrep.ai,"Finrep Alchemy, Ltd.",finrep.ai,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-03 14:50
FintechOS,fintechos.com,FintechOS Holding BV,fintechos.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-05-15 15:39
fioulmarket.fr,fioulmarket.fr,TotalEnergies S.A.,totalenergies.com,Yes,Fioulmarket.fr is described as a subsidiary (filiale) created by TotalEnergies for online domestic heating-oil sales.,LLM+web search,2026-05-15 16:06
first american title,firstam.com,First American Financial Corporation,firstam.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-20 13:26
Firstbase,firstbase.io,"Harbor Compliance, Inc.",harborcompliance.com,Yes,"Harbor Compliance acquired Firstbase on December 10, 2025, as announced in multiple press releases.",LLM+web search,2026-05-15 15:53
Ironstone Bank,firstcitizens.com,"First Citizens BancShares, Inc.",firstcitizens.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-18 11:21
First Horizon Bank,firsthorizon.com,First Horizon Corporation.,firsthorizon.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-02-04 09:47
FIS,fisglobal.com,"Fidelity National Information Services, Inc.",fisglobal.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-07-12 05:12
Fishtown Analytics,fishtownanalytics.com,Fivetran,fivetran.com,Yes,"dbt Labs (formerly Fishtown Analytics) merged with Fivetran in October 2025, creating combined data infrastructure company.",LLM+web search (optimized),2025-12-10 15:09
fitpage,fitpage.in,Saransh Ventures Private Limited,fitpage.in,Yes,"Fitpage is a brand owned by Saransh Ventures Private Limited, established 2020.",LLM+web search,2026-05-15 15:56
Fixr.com,fixr.com,SolarReviews LLC.,solarreviews.com,Yes,SolarReviews acquired Fixr.com and FIXR NETWORKS SLU in July 2022 to expand into home remodeling sector.,LLM+web search (optimized),2025-07-19 04:43
Fixxer,fixxer.eu,"Belfius, ASR",belfius.be,Yes,"Fixxer was set up by Belfius Insurance, which retained the majority (~50.16%) stake after a.s.r. (ASR) acquired a 49.84% minority interest, so the combined listed parents (Belfius, ASR) hold full ownership and Belfius alone holds majority control.",LLM+web search,2026-05-15 16:07
Flagler Health,flaglerhealth.io,"Flagler Health Care Systems, Inc.",flaglerhealth.io,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-18 20:53
Flagsmith,flagsmith.com,Bullet Train Ltd.,flagsmith.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2026-03-23 09:23
Flagstar Ban,flagstar.com,"Flagstar Financial, Inc.",flagstar.com,Yes,Child and parent share the same domain (heuristic),Heuristic,2025-09-18 16:56
